#F tmpPSD.dat
#S 1  power spectral density
#N 5
#L  freq[m^-1]  psd_heights[m^3]  psd_slopes[rad^3]  csd_h  csd_s
1.333333333333333428e+02 7.746078312253851971e-24 6.044487862770381086e-18 9.999993537495039941e-01 9.766012816229344695e-01
1.341666666666666856e+02 4.761753834253395136e-23 3.768579244913451537e-17 9.999993597467070616e-01 9.766406691438309640e-01
1.350000000000000000e+02 7.698954521883334537e-23 6.179405401453693552e-17 9.999993732446321726e-01 9.767302639458297353e-01
1.358333333333333428e+02 3.877260389439744799e-24 3.155845236635422892e-18 9.999993820044399406e-01 9.767887555142034106e-01
1.366666666666666856e+02 5.337870984365289436e-23 4.405615561045654504e-17 9.999993882066298134e-01 9.768312707641282344e-01
1.375000000000000284e+02 5.803851474086879781e-23 4.857077492320699350e-17 9.999994002757777167e-01 9.769146775932526783e-01
1.383333333333333428e+02 1.232732085455471434e-22 1.045973052622802822e-16 9.999994199161698072e-01 9.770525836735722836e-01
1.391666666666666856e+02 6.897720299813887111e-23 5.933673855355597329e-17 9.999994407414828368e-01 9.772001614117429291e-01
1.400000000000000000e+02 2.081671751234424460e-22 1.815391418273637904e-16 9.999994707628399038e-01 9.774169637910977704e-01
1.408333333333333428e+02 1.268251729061509468e-23 1.121185480617471396e-17 9.999994946861371359e-01 9.775904163294344418e-01
1.416666666666666856e+02 5.962418116857198004e-23 5.342971083512824113e-17 9.999995025186796394e-01 9.776485790141916654e-01
1.425000000000000000e+02 2.490947947150378415e-23 2.262498207159026779e-17 9.999995116756941194e-01 9.777170064834853624e-01
1.433333333333333712e+02 4.067625554729739277e-24 3.744578414687547899e-18 9.999995148146066937e-01 9.777407304272501820e-01
1.441666666666666856e+02 2.484376283266216984e-23 2.317892291541911520e-17 9.999995179464005179e-01 9.777649521419515821e-01
1.450000000000000284e+02 4.365780354629354195e-24 4.127884888617097847e-18 9.999995211104917292e-01 9.777895180852409496e-01
1.458333333333333428e+02 1.811252714757129107e-23 1.735444883316386863e-17 9.999995235454294251e-01 9.778088437402651101e-01
1.466666666666666856e+02 2.854888836079426055e-23 2.771811357247024089e-17 9.999995285999750960e-01 9.778493900857504473e-01
1.475000000000000000e+02 9.441032770048608946e-23 9.287816379342574791e-17 9.999995419193945523e-01 9.779578677379761054e-01
1.483333333333333428e+02 9.431625911812476715e-24 9.401077363930523575e-18 9.999995531679577443e-01 9.780498595894372427e-01
1.491666666666666572e+02 4.457313201861405973e-23 4.501308571450884446e-17 9.999995590179625582e-01 9.780987971736548880e-01
1.500000000000000284e+02 9.441202819616016135e-23 9.659296437964077398e-17 9.999995740733742533e-01 9.782261396370183215e-01
1.508333333333333712e+02 6.365362099054254869e-24 6.597389084556720089e-18 9.999995849899718792e-01 9.783189254704972582e-01
1.516666666666666856e+02 2.083771370796887828e-23 2.187804290239755822e-17 9.999995879367143958e-01 9.783445282205579518e-01
1.525000000000000284e+02 4.627041929118901552e-23 4.920963838091199943e-17 9.999995952061274673e-01 9.784084414519840234e-01
1.533333333333333428e+02 2.027712036107771136e-23 2.184341717165488326e-17 9.999996024148148921e-01 9.784723193805203723e-01
1.541666666666666856e+02 4.737899349423503929e-23 5.169484359015544280e-17 9.999996097435872588e-01 9.785384271604110618e-01
1.550000000000000000e+02 7.387847786514586569e-23 8.164061369266737102e-17 9.999996228786660613e-01 9.786582786972353176e-01
1.558333333333333428e+02 8.470132308733300233e-24 9.479503060010593073e-18 9.999996317989863215e-01 9.787401755957700900e-01
1.566666666666666572e+02 9.942857275731078871e-23 1.126922520507441846e-16 9.999996434869917739e-01 9.788499703197983681e-01
1.575000000000000284e+02 1.828621947896661175e-24 2.098818892912999095e-18 9.999996544555628253e-01 9.789531208646854443e-01
1.583333333333333428e+02 3.132643319353697202e-23 3.640920219936180404e-17 9.999996580470466023e-01 9.789877214992670496e-01
1.591666666666666856e+02 2.467671743756211793e-23 2.904143356394443173e-17 9.999996641135243669e-01 9.790465280915956470e-01
1.600000000000000284e+02 3.066535536720332063e-23 3.654186097872207659e-17 9.999996701083918582e-01 9.791054503334473136e-01
1.608333333333333428e+02 5.492157321794227981e-25 6.626427414746875311e-19 9.999996734896748896e-01 9.791388745370265267e-01
1.616666666666666856e+02 3.174961322657577260e-23 3.878384126293552882e-17 9.999996769884088588e-01 9.791743116701141503e-01
1.625000000000000000e+02 4.440134611715888190e-24 5.491193871159813760e-18 9.999996809086223459e-01 9.792140850516088957e-01
1.633333333333333428e+02 1.675263244263084564e-23 2.097464279915062236e-17 9.999996832043047679e-01 9.792378592092015888e-01
1.641666666666666856e+02 8.371378910729886805e-24 1.061041225842338662e-17 9.999996859258347692e-01 9.792662311852162738e-01
1.650000000000000284e+02 1.941356207688085715e-23 2.490848762185561707e-17 9.999996889356069785e-01 9.792981358426391392e-01
1.658333333333333428e+02 1.436191831168279160e-24 1.865283427194582581e-18 9.999996911941329003e-01 9.793221845489146204e-01
1.666666666666666856e+02 1.372180380310922456e-23 1.803920769785707914e-17 9.999996928361055692e-01 9.793400627556578808e-01
1.675000000000000284e+02 4.619534306864523134e-23 6.146985574873312123e-17 9.999996993265625189e-01 9.794114745122807220e-01
1.683333333333333428e+02 7.153359532576600850e-25 9.634205494956380771e-19 9.999997044081084807e-01 9.794675458528727674e-01
1.691666666666666856e+02 1.456891059091110489e-23 1.985908039955091164e-17 9.999997060637570989e-01 9.794862458322404208e-01
1.700000000000000000e+02 5.125116973935002700e-23 7.070443022252932774e-17 9.999997131936424477e-01 9.795675736858718841e-01
1.708333333333333712e+02 3.523372999817038663e-23 4.919229366966168833e-17 9.999997225620206320e-01 9.796752329691276184e-01
1.716666666666666856e+02 2.379066934003133014e-23 3.361443101348528512e-17 9.999997289557714941e-01 9.797495809934038125e-01
1.725000000000000284e+02 6.347386916890350250e-24 9.075697294109123978e-18 9.999997322204422501e-01 9.797879081244948996e-01
1.733333333333333428e+02 1.034852554488047813e-23 1.497321049356128500e-17 9.999997340290077696e-01 9.798094985364896869e-01
1.741666666666666856e+02 3.929959017135916856e-24 5.753890840630010105e-18 9.999997355757083151e-01 9.798281063452711770e-01
1.750000000000000000e+02 8.564400466400486924e-24 1.268801386241074193e-17 9.999997369291456772e-01 9.798446623157914814e-01
1.758333333333333428e+02 2.342119654954595337e-23 3.510871964611357256e-17 9.999997403939488994e-01 9.798875698848773519e-01
1.766666666666666856e+02 1.583975882593427379e-23 2.402426340348845905e-17 9.999997446468471551e-01 9.799406515098906256e-01
1.775000000000000000e+02 1.603949356814621585e-24 2.461355530179433177e-18 9.999997465364169891e-01 9.799644257977565553e-01
1.783333333333333712e+02 2.166254791409894396e-23 3.363273647948874408e-17 9.999997490567337222e-01 9.799968240113822171e-01
1.791666666666666856e+02 2.837739539541221066e-24 4.457395438127575904e-18 9.999997517106993250e-01 9.800310127175783093e-01
1.800000000000000284e+02 1.852808705742959062e-23 2.944302168786299131e-17 9.999997540251281958e-01 9.800614398422708984e-01
1.808333333333333428e+02 2.755943783288405744e-23 4.430499734119190905e-17 9.999997590175067064e-01 9.801276286906466240e-01
1.816666666666666856e+02 5.860887307410723125e-24 9.531558025082117411e-18 9.999997626377252757e-01 9.801759441776881632e-01
1.825000000000000000e+02 1.172956624278566139e-23 1.929693973232829660e-17 9.999997645431909499e-01 9.802018152645406435e-01
1.833333333333333428e+02 1.302842122313108425e-23 2.168164535029470016e-17 9.999997672250715564e-01 9.802385888302642680e-01
1.841666666666666572e+02 5.153951248594493893e-24 8.676066962980440530e-18 9.999997691946563849e-01 9.802658304950219170e-01
1.850000000000000284e+02 1.777566530160604064e-23 3.026766901698447349e-17 9.999997716784807533e-01 9.803007757681944101e-01
1.858333333333333712e+02 2.284519606438989036e-23 3.934658934164771149e-17 9.999997760786890622e-01 9.803632394315776599e-01
1.866666666666666856e+02 7.079427189218020490e-24 1.233270006161038092e-17 9.999997793202397567e-01 9.804096077854168589e-01
1.875000000000000284e+02 3.378664377555223122e-23 5.953082362878220604e-17 9.999997837470100404e-01 9.804740824516506859e-01
