#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 2.000889779559e+04   2.181307134963e+14   3.494839294422e-02  
 2.000893787575e+04   2.181301727843e+14   3.494830631261e-02  
 2.000897795591e+04   2.181296320735e+14   3.494821968119e-02  
 2.000901803607e+04   2.181290913640e+14   3.494813304997e-02  
 2.000905811623e+04   2.181285506556e+14   3.494804641895e-02  
 2.000909819639e+04   2.181280099485e+14   3.494795978811e-02  
 2.000913827655e+04   2.181274692425e+14   3.494787315746e-02  
 2.000917835671e+04   2.181269285378e+14   3.494778652701e-02  
 2.000921843687e+04   2.181263878342e+14   3.494769989675e-02  
 2.000925851703e+04   2.181258471319e+14   3.494761326669e-02  
 2.000929859719e+04   2.181253064307e+14   3.494752663681e-02  
 2.000933867735e+04   2.181247657307e+14   3.494744000713e-02  
 2.000937875752e+04   2.181242250320e+14   3.494735337764e-02  
 2.000941883768e+04   2.181236843345e+14   3.494726674835e-02  
 2.000945891784e+04   2.181231436381e+14   3.494718011924e-02  
 2.000949899800e+04   2.181226029430e+14   3.494709349033e-02  
 2.000953907816e+04   2.181220622490e+14   3.494700686161e-02  
 2.000957915832e+04   2.181215215563e+14   3.494692023308e-02  
 2.000961923848e+04   2.181209808648e+14   3.494683360475e-02  
 2.000965931864e+04   2.181204401744e+14   3.494674697661e-02  
 2.000969939880e+04   2.181198994853e+14   3.494666034866e-02  
 2.000973947896e+04   2.181193587974e+14   3.494657372091e-02  
 2.000977955912e+04   2.181188181106e+14   3.494648709334e-02  
 2.000981963928e+04   2.181182774251e+14   3.494640046597e-02  
 2.000985971944e+04   2.181177367408e+14   3.494631383879e-02  
 2.000989979960e+04   2.181171960577e+14   3.494622721181e-02  
 2.000993987976e+04   2.181166553757e+14   3.494614058501e-02  
 2.000997995992e+04   2.181161146950e+14   3.494605395841e-02  
 2.001002004008e+04   2.181155740155e+14   3.494596733200e-02  
 2.001006012024e+04   2.181150333372e+14   3.494588070579e-02  
 2.001010020040e+04   2.181144926601e+14   3.494579407976e-02  
 2.001014028056e+04   2.181139519841e+14   3.494570745393e-02  
 2.001018036072e+04   2.181134113094e+14   3.494562082829e-02  
 2.001022044088e+04   2.181128706359e+14   3.494553420284e-02  
 2.001026052104e+04   2.181123299636e+14   3.494544757759e-02  
 2.001030060120e+04   2.181117892925e+14   3.494536095253e-02  
 2.001034068136e+04   2.181112486226e+14   3.494527432766e-02  
 2.001038076152e+04   2.181107079539e+14   3.494518770299e-02  
 2.001042084168e+04   2.181101672864e+14   3.494510107850e-02  
 2.001046092184e+04   2.181096266201e+14   3.494501445421e-02  
 2.001050100200e+04   2.181090859550e+14   3.494492783011e-02  
 2.001054108216e+04   2.181085452911e+14   3.494484120621e-02  
 2.001058116232e+04   2.181080046284e+14   3.494475458249e-02  
 2.001062124248e+04   2.181074639669e+14   3.494466795897e-02  
 2.001066132265e+04   2.181069233066e+14   3.494458133564e-02  
 2.001070140281e+04   2.181063826475e+14   3.494449471251e-02  
 2.001074148297e+04   2.181058419896e+14   3.494440808956e-02  
 2.001078156313e+04   2.181053013329e+14   3.494432146681e-02  
 2.001082164329e+04   2.181047606774e+14   3.494423484425e-02  
 2.001086172345e+04   2.181042200231e+14   3.494414822189e-02  
 2.001090180361e+04   2.181036793700e+14   3.494406159971e-02  
 2.001094188377e+04   2.181031387182e+14   3.494397497773e-02  
 2.001098196393e+04   2.181025980675e+14   3.494388835594e-02  
 2.001102204409e+04   2.181020574180e+14   3.494380173435e-02  
 2.001106212425e+04   2.181015167697e+14   3.494371511295e-02  
 2.001110220441e+04   2.181009761226e+14   3.494362849173e-02  
 2.001114228457e+04   2.181004354768e+14   3.494354187072e-02  
 2.001118236473e+04   2.180998948321e+14   3.494345524989e-02  
 2.001122244489e+04   2.180993541886e+14   3.494336862926e-02  
 2.001126252505e+04   2.180988135463e+14   3.494328200881e-02  
 2.001130260521e+04   2.180982729053e+14   3.494319538857e-02  
 2.001134268537e+04   2.180977322654e+14   3.494310876851e-02  
 2.001138276553e+04   2.180971916267e+14   3.494302214864e-02  
 2.001142284569e+04   2.180966509893e+14   3.494293552898e-02  
 2.001146292585e+04   2.180961103530e+14   3.494284890950e-02  
 2.001150300601e+04   2.180955697179e+14   3.494276229021e-02  
 2.001154308617e+04   2.180950290841e+14   3.494267567112e-02  
 2.001158316633e+04   2.180944884514e+14   3.494258905222e-02  
 2.001162324649e+04   2.180939478200e+14   3.494250243351e-02  
 2.001166332665e+04   2.180934071897e+14   3.494241581500e-02  
 2.001170340681e+04   2.180928665607e+14   3.494232919667e-02  
 2.001174348697e+04   2.180923259328e+14   3.494224257854e-02  
 2.001178356713e+04   2.180917853061e+14   3.494215596060e-02  
 2.001182364729e+04   2.180912446807e+14   3.494206934286e-02  
 2.001186372745e+04   2.180907040565e+14   3.494198272531e-02  
 2.001190380762e+04   2.180901634334e+14   3.494189610795e-02  
